id,name,neighbourhood,latitude,longitude,room_type,property_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,host_is_superhost,instant_bookable
49539548,Entire Cottage W Parking - Historic German Village,Neighborhood highlights,39.94365,-82.99412,Entire home/apt,Entire home,285,30,206,3.91,297,t,t
49638097,Great Victorian in Olde Towne East,Neighborhood highlights,39.96045,-82.96438,Entire home/apt,Entire townhouse,121,2,116,2.21,342,t,t
49986754,Steps from High St. WALK to everything.,Neighborhood highlights,39.92301,-82.98466,Entire home/apt,Entire townhouse,185,30,8,0.16,358,f,f
50187639,Apartment on the River,Neighborhood highlights,39.95604,-83.01033,Entire home/apt,Entire rental unit,109,2,137,2.61,339,t,t
50277597,Luxury Short North Home!  Amazing Location,Neighborhood highlights,39.98575,-83.00464,Entire home/apt,Entire home,150,1,137,4.33,331,t,t
50283266,The Charm House -- Secret Garden,Neighborhood highlights,39.9405,-82.98582,Entire home/apt,Entire home,125,1,225,4.3,82,t,f
50345056,"Texan 2bd Loft + Workspace, King Bds, by Starbucks",Neighborhood highlights,39.9509,-82.98801,Entire home/apt,Entire rental unit,69,30,112,2.16,238,f,f
50547148,"Cheerful 2-Bed, 2-Bath House in a Great Location",Neighborhood highlights,39.93631,-82.97721,Entire home/apt,Entire home,115,30,3,0.19,240,t,f
50699091,The Little House - a 1910 cottage,Neighborhood highlights,39.96097,-82.9671,Entire home/apt,Entire home,135,2,51,3,324,t,f
50751062,Mon Chateau  -Brand new urban studio apartment,Neighborhood highlights,39.96244,-82.97711,Entire home/apt,Entire loft,108,1,196,3.87,74,t,f
50826595,Glitter & Glam  Stay in the heart of EASTON,Neighborhood highlights,40.04723,-82.91518,Entire home/apt,Entire rental unit,126,2,37,0.74,178,f,f
50897093,The Clintonville Casita | Walkable & Inspiring,Neighborhood highlights,40.03732,-83.00716,Entire home/apt,Entire home,126,2,147,2.98,156,t,f
50943505,Julie’s Buckeye Cozy Condo w/ hot tub!,Neighborhood highlights,40.13329,-83.07275,Entire home/apt,Entire townhouse,180,1,126,2.55,342,t,f
51043079,The Cottage | Parking + Private Patio + Fast WiFi,Neighborhood highlights,39.98085,-83.01358,Entire home/apt,Entire home,98,2,119,2.48,360,t,f
51047429,"The Webster on Weber, Quaint Cottage, Koi pond",Neighborhood highlights,40.02218,-82.98242,Entire home/apt,Entire home,87,30,65,1.27,345,t,f
51175433,Entire new residential home by the pond,Neighborhood highlights,39.90206,-82.80745,Entire home/apt,Entire home,154,4,23,0.48,178,f,t
51193772,"LRG Private Boho Room near Nationwide, CMH, Dwntwn",Neighborhood highlights,39.974,-82.96519,Private room,Private room in home,36,14,24,0.52,234,f,f
51230670,"Vintage style in the city. 3BRs, lounge, enclosed porches and fenced yard.",Neighborhood highlights,40.00958,-82.97294,Entire home/apt,Entire home,47,30,4,0.08,62,f,f
51288697,"Clean Quiet Home Close OSU, Downtown, Hospital",Neighborhood highlights,40.02896,-83.02091,Entire home/apt,Entire home,79,30,6,0.14,149,f,f
51385683,"Charming Family & Dog-Friendly Home, Close to OSU",Neighborhood highlights,40.02194,-83.00675,Entire home/apt,Entire home,166,1,203,4.03,345,t,t
51439233,Tiny Home at Central Point,Neighborhood highlights,40.06169,-83.01475,Entire home/apt,Entire guest suite,79,2,98,1.98,63,f,f
51577004,Private Queen Room NEAR NATIONWIDE/AIRPORT/DOWNTWN,Neighborhood highlights,39.97552,-82.96549,Private room,Private room in home,39,14,20,0.44,254,f,f
51578043,Cozy Private Room near Nationwide/CMH AIRPT/DWNTWN,Neighborhood highlights,39.97505,-82.96733,Private room,Private room in home,39,14,14,0.28,249,f,f
51679942,Clean Quiet Comfortable Home,Neighborhood highlights,40.02063,-82.99257,Entire home/apt,Entire home,73,30,2,0.07,268,f,f
51682618,Olde Towne East Luxurious Castle,Neighborhood highlights,39.96223,-82.96495,Entire home/apt,Entire home,267,30,48,0.97,308,t,t
51682628,Spacious Modern Luxurious Home Near Downtown,Neighborhood highlights,39.95311,-82.96689,Entire home/apt,Entire home,490,2,55,1.12,116,t,f
51713907,5 Bedrooms Home at Mt Camel East great neigborhood,Neighborhood highlights,39.98614,-82.84116,Entire home/apt,Entire home,227,2,26,0.62,185,f,f
51717344,"*Cape Cod*  *2 guests rooms, 3 full beds & fit 6*",Neighborhood highlights,40.02004,-82.98549,Private room,Private room in home,78,1,175,3.61,223,t,f
51803616,Mike & Allen's Lower-level guest Suite,Neighborhood highlights,39.96395,-82.95457,Private room,Private room in home,161,1,56,1.13,349,t,t
51835268,⭐️ Sam’s Spot ⭐️ Near Short North & OSU & ExpoCenter,Neighborhood highlights,39.99054,-82.99674,Entire home/apt,Entire home,163,1,162,3.29,228,t,f
51840051,Bed and bath with a beautiful relaxing view.,Neighborhood highlights,39.96934271959008,-82.85132438,Private room,Private room in home,60,1,119,2.47,255,f,t
51842325,"Huge 3bd 1 bth just minutes from DWNTWN, CMH, OSU",Neighborhood highlights,39.9751,-82.96701,Entire home/apt,Entire home,122,14,8,0.16,226,f,f
51848672,Clintonville MCM Charmer-Low Tox/Allergy Friendly,Neighborhood highlights,40.0392,-83.02021,Entire home/apt,Entire home,202,2,66,1.35,212,t,f
51865518,The Short North Nook,Neighborhood highlights,39.974667,-83.003471,Entire home/apt,Entire loft,135,2,130,2.63,75,t,f
52001843,"Chic 3 BR Townhouse by Mapfre, OSU & Short North",Neighborhood highlights,40.01797,-82.99778,Entire home/apt,Entire townhouse,166,2,105,2.14,314,t,f
52029309,Cali Modern Studio  at FOUR X FIVE,Neighborhood highlights,39.9862,-83.00086,Entire home/apt,Entire guest suite,79,1,82,1.67,339,f,f
52037940,Modern 3 bdrm home in Short North/ Italian Village,Neighborhood highlights,39.98084,-83.00129,Entire home/apt,Entire home,280,3,95,1.99,315,t,f
52086736,Cali Modern Townhome at FOUR x FIVE,Neighborhood highlights,39.98547,-82.9988,Entire home/apt,Entire condo,160,1,92,1.95,357,f,f
52144816,💫 Grandview Getaway 💫 - Central Downtown/OSU,Neighborhood highlights,39.989861,-83.042915,Entire home/apt,Entire townhouse,101,1,411,8.36,252,t,t
52300743,(H) spacious 2 bdr  in the heart of Short North,Neighborhood highlights,39.979847,-83.003784,Entire home/apt,Entire rental unit,124,3,22,0.46,361,f,f
52337388,(G) Boutique apt steps to convention Center,Neighborhood highlights,39.979847,-83.003784,Entire home/apt,Entire rental unit,106,2,11,0.25,361,f,t
52427292,"Digital nomads: Dedicated workspace w/24"" monitor!",Neighborhood highlights,39.99721,-82.99494,Entire home/apt,Entire rental unit,72,1,129,4.28,61,t,f
52459316,GermanVillage_Private Parking Children'sHospital A,Neighborhood highlights,39.94794,-82.98386,Entire home/apt,Entire condo,96,1,143,2.97,194,t,t
52528714,Historic German Village home | fenced yard,Neighborhood highlights,39.94455,-82.991882,Entire home/apt,Entire townhouse,105,21,127,3.27,165,f,t
52551707,"Jim's Place, cozy convenient pet-friendly cape cod",Neighborhood highlights,40.02687,-82.967,Entire home/apt,Entire home,80,30,1,0.02,165,t,f
52555443,Cozy Cape Cod with FREE parking!,Neighborhood highlights,39.9331,-82.95022,Entire home/apt,Entire home,131,2,23,0.48,101,f,f
52876832,"Cozy Suite next to local winery, near Easton",Neighborhood highlights,40.06843,-82.89361,Entire home/apt,Farm stay,77,1,206,7.36,322,t,f
52898287,Pet-Friendly 2BR On 1st Floor | Parking | W/D!,Neighborhood highlights,40.09798,-82.85083,Entire home/apt,Entire rental unit,169,30,1,0.03,119,t,f
52904534,"Ohio State University/Fairgrounds  2 BR, 3 Bd/1 Ba",Neighborhood highlights,40.00095,-82.99908,Entire home/apt,Entire rental unit,129,2,80,1.94,242,t,t
53076622,The Modern Metro Triplex—COLUMBUS ITALIAN VILLAGE,Neighborhood highlights,39.98568,-82.9992,Entire home/apt,Entire condo,195,2,32,0.68,241,f,f
53095950,Private★Modern★Cozy★ Amazing Location★Walkable,Neighborhood highlights,39.93862,-82.98753,Entire home/apt,Entire home,97,1,228,4.84,340,t,f
53166486,Comfy King Bed | Family Items | Games | Dogs ok,Neighborhood highlights,40.06932,-83.0168,Entire home/apt,Entire home,129,1,149,3.34,354,t,f
53201731,Clean | Convenient Location | High Fashion Design,Neighborhood highlights,40.06113,-83.00387,Entire home/apt,Entire home,121,1,186,3.95,328,t,f
53216054,DOWNTOWN OASIS -Short North- FREE STARBUCKS MACHNE,Neighborhood highlights,39.98774,-83.00344,Entire home/apt,Entire rental unit,87,30,9,0.2,347,f,f
53253268,(E) Short north Large bedroom with separate office,Neighborhood highlights,39.97973251342773,-83.00395966,Entire home/apt,Entire rental unit,138,2,24,0.51,362,f,f
53277773,The Pearl St Cottage | Parking & Patio,Neighborhood highlights,39.9453,-82.9954,Entire home/apt,Entire home,118,1,391,8.34,207,t,f
53307614,Game room~Minutes to the Zoo~Near Powell/Dublin,Neighborhood highlights,40.12933,-83.07204,Entire home/apt,Entire home,261,2,134,2.94,87,t,f
53313193,Moody Haven near OSU campus,Neighborhood highlights,40.00867,-83.00106,Entire home/apt,Entire home,340,30,49,1.57,356,t,f
53347570,Welcome to Little Viet Nam!!! Room I,Neighborhood highlights,39.952404,-82.955093,Private room,Private room in home,38,1,12,0.27,344,f,f
53431855,New Luxe Reno W/Hot Tub & Roof Top Terrace!,Neighborhood highlights,39.982,-83.02074,Entire home/apt,Entire home,429,2,107,2.34,354,t,t
53480716,(C) Large 1 bdr apt next to Convention center,Neighborhood highlights,39.98043,-83.00459,Entire home/apt,Entire rental unit,140,2,19,0.41,362,f,t
53494597,Downtown Columbus | Historic Luxury | Sleeps 14,Neighborhood highlights,39.97299,-82.97877,Entire home/apt,Entire home,228,1,191,4.13,347,f,f
53563346,Wine Down Room in Large Centrally Located Home,Neighborhood highlights,39.97467,-82.96587,Private room,Private room in home,39,14,8,0.28,343,f,f
53575122,OSU & Riverside |King Beds| Fenced Backyard,Neighborhood highlights,40.02102,-83.00021,Entire home/apt,Entire home,285,3,66,1.45,321,t,f
53604552,Clean 2 Bedroom House Surrounded by Entertainment,Neighborhood highlights,39.984024,-83.015091,Entire home/apt,Entire home,206,2,48,1.13,337,t,f
53613455,PrivateParking/Entrance_OSU/ExpoCentr 7E Renovated,Neighborhood highlights,39.99678,-82.99628,Entire home/apt,Entire rental unit,98,1,164,3.62,222,t,t
53620565,Short North Villager,Neighborhood highlights,39.98044,-83.01367,Entire home/apt,Entire condo,158,2,73,1.6,258,t,f
53713600,Walkable | Private Yard | Fireplaces Throughout!,Neighborhood highlights,39.97973,-83.01154,Entire home/apt,Entire home,780,1,62,1.37,61,t,f
53731136,Penthouse Rooftop Loft (No Shared Walls!),Neighborhood highlights,39.96738,-83.00391,Entire home/apt,Entire loft,130,30,3,0.08,298,f,f
53785202,Large Private Yard | Hot Tub | Chefs Kitchen!,Neighborhood highlights,39.97959,-83.0121,Entire home/apt,Entire home,878,1,87,1.93,61,t,f
53799913,The Palace - 2 bedroom entire apartment,Neighborhood highlights,40.04102,-83.01733,Entire home/apt,Entire townhouse,99,30,111,2.48,172,t,f
53816272,Luxurious Cozy Escape in Short North! Free Parking,Neighborhood highlights,39.98301,-83.00452,Entire home/apt,Entire rental unit,100,30,149,3.24,265,t,f
53827913,Stately Executive Home with Modern Amenities,Neighborhood highlights,39.95989,-82.97824,Entire home/apt,Entire home,241,30,48,1.11,185,f,t
53881803,The Columbus Manor - 2 min from German Village!,Neighborhood highlights,39.94665,-82.97526,Entire home/apt,Entire home,125,2,54,1.19,359,t,t
53943296,Charming Victorian Home | Close to OSU & Downtown,Neighborhood highlights,39.98165,-83.01455,Entire home/apt,Entire townhouse,137,14,22,0.51,67,t,f
54005053,Cozy Short North Loft - Best Location,Neighborhood highlights,39.97555,-83.00393,Entire home/apt,Entire condo,99,1,335,7.37,139,t,f
54043341,Cozy place in the short north just off high street,Neighborhood highlights,39.98304,-83.00997,Entire home/apt,Entire condo,122,1,31,0.91,84,f,f
54122981,The Goodale Park Flat,Neighborhood highlights,39.97758,-83.00841,Entire home/apt,Entire rental unit,104,2,124,2.8,346,t,f
54137252,Olde Town East 2nd Floor Private Unit - 1 BD,Neighborhood highlights,39.959374985526416,-82.96857803,Entire home/apt,Entire rental unit,105,1,221,6.97,176,t,f
54137255,Spacious Olde Town East 1st Floor Private Unit,Neighborhood highlights,39.95929,-82.96996,Entire home/apt,Entire rental unit,132,1,341,9.33,349,t,f
54174690,Entire Home | Downtown | Parking | King bed,Neighborhood highlights,39.9581,-83.0256,Entire home/apt,Entire home,144,2,54,1.27,258,t,f
54229081,Modern 1BR Near OSU & Short North | Free Parking,Neighborhood highlights,39.98898,-83.00732,Entire home/apt,Entire home,101,1,249,5.59,313,t,t
54282384,Lion's Lair Historic Home Premium Garage & Locale,Neighborhood highlights,39.93949,-82.99184,Entire home/apt,Entire home,107,30,118,2.69,364,f,f
54318604,Cozy & Well-Equipped 1BR | New Kitchen + Workspace,Neighborhood highlights,40.01406,-83.00773,Entire home/apt,Entire rental unit,68,1,133,3.08,229,f,t
54339453,★Best of Airbnb★  Parkview Pueblo • A+ Location!,Neighborhood highlights,40.01912,-82.99004,Entire home/apt,Entire home,82,2,56,1.27,86,f,f
54397455,Cheerful Room in a Large Centrally Located Home,Neighborhood highlights,39.9738,-82.96537,Private room,Private room in home,39,14,12,0.29,331,f,f
54404156,Exposed Brick 4 Bedroom - 5 minutes from downtown,Neighborhood highlights,39.95718,-82.96603,Entire home/apt,Entire home,181,1,142,3.29,299,t,f
54404562,(A)Boutique studio full kitchen walk to Convention,Neighborhood highlights,39.9798475,-83.0037816,Entire home/apt,Entire rental unit,134,2,21,0.47,363,f,f
